year,carcass_present,bird_or_mammal,species_code,species_sci_name,species_common_name,species_itis,species,age_class,sex,condition,cause_of_death,alive,n
1995,1,bird,COMU,Uria aalge,Common Murre,176974,COMU: Common Murre (Uria aalge; ITIS: 176974),NA,U,3,NA,0,59
1995,1,bird,COMU,Uria aalge,Common Murre,176974,COMU: Common Murre (Uria aalge; ITIS: 176974),NA,U,4,NA,0,42
1995,1,bird,CORA,Corvus corax,Common Raven,179725,CORA: Common Raven (Corvus corax; ITIS: 179725),NA,U,3,NA,0,1
1995,1,bird,CORA,Corvus corax,Common Raven,179725,CORA: Common Raven (Corvus corax; ITIS: 179725),NA,U,4,NA,0,2
1995,1,bird,CORM,Phalacrocorax (sp),Cormorant (unidentified),174713,CORM: Cormorant (unidentified) (Phalacrocorax (sp); ITIS: 174713),NA,U,2,NA,0,1
1995,1,bird,CORM,Phalacrocorax (sp),Cormorant (unidentified),174713,CORM: Cormorant (unidentified) (Phalacrocorax (sp); ITIS: 174713),NA,U,4,NA,0,1
1995,1,bird,DCCO,Phalacrocorax auritus,Double-crested Cormorant,174717,DCCO: Double-crested Cormorant (Phalacrocorax auritus; ITIS: 174717),NA,U,3,NA,0,2
1995,1,bird,GULL,Larus (sp),Gull (unidentified),176803,GULL: Gull (unidentified) (Larus (sp); ITIS: 176803),NA,U,2,NA,0,4
1995,1,bird,GULL,Larus (sp),Gull (unidentified),176803,GULL: Gull (unidentified) (Larus (sp); ITIS: 176803),NA,U,4,NA,0,5
1995,1,bird,GWGU,Larus glaucescens,Glaucous-winged Gull,176814,GWGU: Glaucous-winged Gull (Larus glaucescens; ITIS: 176814),NA,U,0,NA,0,1
1995,1,bird,GWGU,Larus glaucescens,Glaucous-winged Gull,176814,GWGU: Glaucous-winged Gull (Larus glaucescens; ITIS: 176814),NA,U,2,NA,0,1
1995,1,bird,GWGU,Larus glaucescens,Glaucous-winged Gull,176814,GWGU: Glaucous-winged Gull (Larus glaucescens; ITIS: 176814),NA,U,3,NA,0,1
1995,1,bird,HEEG,Larus heermanni,Heermann's Gull,176841,HEEG: Heermann's Gull (Larus heermanni; ITIS: 176841),NA,U,2,NA,0,2
1995,1,bird,HEEG,Larus heermanni,Heermann's Gull,176841,HEEG: Heermann's Gull (Larus heermanni; ITIS: 176841),NA,U,3,NA,0,3
1995,1,bird,HEEG,Larus heermanni,Heermann's Gull,176841,HEEG: Heermann's Gull (Larus heermanni; ITIS: 176841),NA,U,4,NA,0,2
1995,1,bird,HERG,Larus argentatus,Herring Gull,176824,HERG: Herring Gull (Larus argentatus; ITIS: 176824),NA,U,0,NA,0,1
1995,1,bird,MAMU,Brachyramphus marmoratus,Marbled Murrelet,176996,MAMU: Marbled Murrelet (Brachyramphus marmoratus; ITIS: 176996),NA,U,2,NA,0,4
1995,1,bird,MAMU,Brachyramphus marmoratus,Marbled Murrelet,176996,MAMU: Marbled Murrelet (Brachyramphus marmoratus; ITIS: 176996),NA,U,3,NA,0,2
1995,1,bird,MAMU,Brachyramphus marmoratus,Marbled Murrelet,176996,MAMU: Marbled Murrelet (Brachyramphus marmoratus; ITIS: 176996),NA,U,4,NA,0,1
1995,1,bird,NOFU,Fulmarus glacialis,Northern Fulmar,174536,NOFU: Northern Fulmar (Fulmarus glacialis; ITIS: 174536),NA,U,2,NA,0,3
1995,1,bird,NOFU,Fulmarus glacialis,Northern Fulmar,174536,NOFU: Northern Fulmar (Fulmarus glacialis; ITIS: 174536),NA,U,3,NA,0,1
1995,1,bird,PALO,Gavia pacifica,Pacific Loon,174475,PALO: Pacific Loon (Gavia pacifica; ITIS: 174475),NA,U,2,NA,0,2
