species_sci_name,species_common_name,species_itis,species_code,species_genus,species,bird_or_mammal,n
Calidris (sp),Small Shorebird (unidentified),176641,PEEP,NA,PEEP: Small Shorebird (unidentified) (Calidris (sp); ITIS: 176641),bird,8
Falco peregrinus,Peregrine Falcon,175604,PEFA,NA,PEFA: Peregrine Falcon (Falco peregrinus; ITIS: 175604),bird,7
Puffinus creatopus,Pink-footed Shearwater,174547,PFSH,NA,PFSH: Pink-footed Shearwater (Puffinus creatopus; ITIS: 174547),bird,82
Phalaropus (sp),Phalarope (unidentified),176733,PHAL,NA,PHAL: Phalarope (unidentified) (Phalaropus (sp); ITIS: 176733),bird,2
Phalaropus,Unidentified Phalarope,176733,PHAL,NA,PHAL: Unidentified Phalarope (Phalaropus; ITIS: 176733),bird,10
Podilymbus podiceps,Pied-billed Grebe,174505,PIGR,NA,PIGR: Pied-billed Grebe (Podilymbus podiceps; ITIS: 174505),bird,13
Cepphus columba,Pigeon Guillemot,176991,PIGU,NA,PIGU: Pigeon Guillemot (Cepphus columba; ITIS: 176991),bird,1224
Dryocopus pileatus,Pileated Woodpecker,178166,PIWO,NA,PIWO: Pileated Woodpecker (Dryocopus pileatus; ITIS: 178166),bird,1
Stercorarius pomarinus,Pomarine Jaeger,176792,POJA,NA,POJA: Pomarine Jaeger (Stercorarius pomarinus; ITIS: 176792),bird,23
Procellariidae,Unidentified Procellarid,174532,PROC,NA,PROC: Unidentified Procellarid (Procellariidae; ITIS: 174532),bird,108
Empidonax difficilis,Pacific-slope Flycatcher,178348,PSFL,NA,PSFL: Pacific-slope Flycatcher (Empidonax difficilis; ITIS: 178348),bird,1
Falconiformes (gen sp),Raptor (unidentified),175262,RAPT,NA,RAPT: Raptor (unidentified) (Falconiformes (gen sp); ITIS: 175262),bird,9
NA,Unidentified Raptor,174371,RAPT,NA,RAPT: Unidentified Raptor (NA; ITIS: 174371),bird,42
Larus delawarensis,Ring-billed Gull,176830,RBGU,NA,RBGU: Ring-billed Gull (Larus delawarensis; ITIS: 176830),bird,222
Mergus serrator,Red-breasted Merganser,175187,RBME,NA,RBME: Red-breasted Merganser (Mergus serrator; ITIS: 175187),bird,7
Gallus gallus,Red Junglefowl,176086,REJU,NA,REJU: Red Junglefowl (Gallus gallus; ITIS: 176086),bird,26
Phalaropus fulicarius,Red Phalarope,176734,REPH,NA,REPH: Red Phalarope (Phalaropus fulicarius; ITIS: 176734),bird,171
Cerorhinca monocerata,Rhinoceros Auklet,177023,RHAU,NA,RHAU: Rhinoceros Auklet (Cerorhinca monocerata; ITIS: 177023),bird,1511
Podiceps grisegena,Red-necked Grebe,174479,RNGR,NA,RNGR: Red-necked Grebe (Podiceps grisegena; ITIS: 174479),bird,38
